1,AL BAZ 200 GENERAL TRADING AND COTRACTING COMPANY,Uniform,"PO BOX:1870,SAFAT 13019, KUWAIT",ANIYAN,,94073486,
2,GRAND RAYA COMPANY,Uniform,"BLOCK#1, BUILDING# 57, ARDHIYA",JOSE,,65154285,jose@grandraya.com
3,BOX CENTER CARTON & PAPER PRODUCTS Co.,Packaging material,"ALTMOOR STREET, SHUWAIKH",OMAR,24829968,,m.ali@boxcenter.co
4,LOTUS AL DEERA GENERAL TRADING EST.,Stationary,"PO BOX 5431,JLEEB 85864,KUWAIT",SANTHOSH,,66562143,lotuskuwait@yahoo.com
5,MAHDI HABIB COMMERCIAL EST,Furniture,AL-SHUWAIKH-AIRPORT ROAD-BLOCK 75,MOHAMED AZIM,4846347 / 24846503,51253776,azim.mahdihabib@yahoo.com
6,ALBADER TRADING COMPANY,Stationary,"SHARQ,KUWAIT",JAHIR,22466006 extn425,50018798,jahir@al-bader.com
7,AL- AZDAHAR GEN.TRAD & CONT.CO,Uniform,MUBARAKIYA SOUQ ALSHAYA-SHOP#21,BURHAN,,97392153/65018609,burhanbsw@gmail.com
8,BHASIN COMPANY W.L.L,Uniform,"DHAJEEJ, FARWANIYA",ABDUL REHMAN,,97149023,rehmanfromq8@gmail.com
9,FOODEX,Gloves,"DHAJEEJ, FARWANIYA NEAR LULU",GEORGE,,99137311,foodexkwt@gmail.com
10,COPY CENTER,Letterhead,"DHAHAK BIN QUAIS ST. NEAR BETTER BOOKS, SALMIYA",FAKRUDDIN,25620582,66755583,bic_kuwait@yahoo.com
11,ALGHANIM ELECTRONICS,Asset,"FARWANIYA, KUWAIT",,,,
12,AL TAREEQ AL MUSTAQEEM GENERAL TRADING COMPANY,Cleaning,"FARWANIYA, KUWAIT",SUDEEP,,66576301,dispomaxkwt@gmail.com
13,DUHA AL-MUTAHEDA CO.,Bolier,"AL ZAINA STREET, SHUWAIKH ",,,,
14,BURGAN FOOTWEAR MANUFACTURING Co,Sabhan,"Block#2, STREET 102, BUILDING 197",RAZA,24733228,97552374,r.shah@burganfootwear.com
