Account Name,Parent Account,Account Number,Is Group,Account Type,Root Type,
Sales,Income - OF,,1,,Income,Slot 1
Other income,Income - OF,,1,,Income,
Direct Expenses,Expenses - OF,,1,,Expense,
Indirect Expenses,Expenses - OF,,1,,Expense,
Other Expenses,Expenses - OF,,1,,Expense,
Current Assets,Application of Funds (Assets) - OF,,1,,Asset,
Fixed Assets,Application of Funds (Assets) - OF,,1,,Asset,
Other Assets,Application of Funds (Assets) - OF,,1,,Asset,
Inventory,Application of Funds (Assets) - OF,,1,,Asset,
Accounts Receivable,Application of Funds (Assets) - OF,,1,,Asset,
Intangible Assets,Application of Funds (Assets) - OF,,1,,Asset,
Current Liabilities,Source of Funds (Liabilities) - OF,,1,,Liability,
Current Curent Liabilities,Source of Funds (Liabilities) - OF,,1,,Liability,
Long Term Liabilities,Source of Funds (Liabilities) - OF,,1,,Liability,
Other Liabilities,Source of Funds (Liabilities) - OF,,1,,Liability,
Accounts Payables,Source of Funds (Liabilities) - OF,,0,,Liability,
Optional Reserve,Equity - OF,,0,,Equity,
Statutory Reserve,Equity - OF,,0,,Equity,
Owner's Equity,Equity - OF,,1,,Equity,
Partner's Current Account,Equity - OF,,1,,Equity,
,,,,,,
Security Services Income,Sales - OF,,0,,Income,SLOT 2
Janitorial Services Income,Sales - OF,,0,,Income,
Other Services income,Sales - OF,,1,,Income,
Discount,Other income - OF,,0,,Income,
Bad Debts recovered,Other income - OF,,0,,Income,
General Income,Other income - OF,,0,,Income,
Interest Income,Other income - OF,,0,,Income,
Late Fee Income,Other income - OF,,0,,Income,
Other Charges,Other income - OF,,0,,Income,
Audit Fees,Indirect Expenses - OF,,0,,Expense,
Automobile Expense,Indirect Expenses - OF,,0,,Expense,
Bank Fees and Charges,Indirect Expenses - OF,,1,,Expense,
Bonus & Rewards,Indirect Expenses - OF,,0,,Expense,
Donation & charity,Indirect Expenses - OF,,0,,Expense,
Gift Expenses,Indirect Expenses - OF,,0,,Expense,
Health insurance,Indirect Expenses - OF,,0,,Expense,
Certificate Expenses,Indirect Expenses - OF,,0,,Expense,
Life insurance,Indirect Expenses - OF,,0,,Expense,
Miscellaneous expense,Indirect Expenses - OF,,0,,Expense,
Advertising And Marketing,Indirect Expenses - OF,,1,,Expense,
Meals and Entertainment,Indirect Expenses - OF,,0,,Expense,
Travel Expense,Indirect Expenses - OF,,0,,Expense,
Recruitment expense,Indirect Expenses - OF,,1,,Expense,
Residency Expenses,Indirect Expenses - OF,,1,,Expense,
Transport Expenses,Indirect Expenses - OF,,1,,Expense,
Freight Charges,Indirect Expenses - OF,,1,,Expense,
Social security expenses,Indirect Expenses - OF,,0,,Expense,
Tender fees,Indirect Expenses - OF,,0,,Expense,
Legal Expenses,Indirect Expenses - OF,,0,,Expense,
Annual Leave Expenses,Indirect Expenses - OF,,0,,Expense,
Indemnity Expenses,Indirect Expenses - OF,,0,,Expense,
Insurance Expenses,Indirect Expenses - OF,,1,,Expense,
Miscellaneous Expenses,Indirect Expenses - OF,,0,,Expense,
Indirect Depreciation,Indirect Expenses - OF,,0,,Expense,
Head Office Cleaning Expenses,Indirect Expenses - OF,,0,,Expense,
Rent Expenses,Indirect Expenses - OF,,0,,Expense,
Telephone expenses,Indirect Expenses - OF,,0,,Expense,
It & Internet Expenses,Indirect Expenses - OF,,0,,Expense,
Translation expenses,Indirect Expenses - OF,,0,,Expense,
Printing & Stationery,Indirect Expenses - OF,,0,,Expense,
Depreciation Expenses,Indirect Expenses - OF,,0,,Expense,
Consultant Expenses,Indirect Expenses - OF,,0,,Expense,
License fee,Indirect Expenses - OF,,0,,Expense,
Bank charges,Direct Expenses - OF,,1,,Expense,
Barber Shop - CGS,Direct Expenses - OF,,0,,Expense,
Bonus & Incentives Expenses,Direct Expenses - OF,,0,,Expense,
Accommoadation Expenses,Direct Expenses - OF,,1,,Expense,
Consultation Fees Expense,Direct Expenses - OF,,0,,Expense,
Cost of Goods Sold,Direct Expenses - OF,,0,,Expense,
Direct Depreciation,Direct Expenses - OF,,0,,Expense,
Fidelity insurance,Direct Expenses - OF,,0,,Expense,
Food Expenses ( CGS),Direct Expenses - OF,,0,,Expense,
Transportation Expenses,Direct Expenses - OF,,1,,Expense,
Training Expense,Direct Expenses - OF,,0,,Expense,
Uniform Expense,Direct Expenses - OF,,0,,Expense,
speed monitoring machine expenses,Direct Expenses - OF,,0,,Expense,
Store Supply - Inventory,Direct Expenses - OF,,0,,Expense,
Sub Contractor expenses,Direct Expenses - OF,,0,,Expense,
Repair and maintenance,Direct Expenses - OF,,0,,Expense,
Salaries & Wages,Direct Expenses - OF,,0,,Expense,
Operation Residency Expenses,Direct Expenses - OF,,1,,Expense,
IIAC COSTS,Direct Expenses - OF,,1,,Expense,
Cleaning Expenses - Other Locations,Direct Expenses - OF,,0,,Expense,
Laundry Expenses,Direct Expenses - OF,,0,,Expense,
Annual Leave Expenses (CGS),Direct Expenses - OF,,0,,Expense,
Indemnity Expenses (CGS),Direct Expenses - OF,,0,,Expense,
Exchange Gain or Loss,Other Expenses - OF,,0,,Expense,
GLA cost,Other Expenses - OF,,0,,Expense,
Lawsuit Expense,Other Expenses - OF,,0,,Expense,
Write off Profit/Loss,Other Expenses - OF,,0,,Expense,
Advance Income,Current Curent Liabilities - OF,,0,,Liability,
Bank Charges Payable,Current Curent Liabilities - OF,,1,,Liability,
Insurance Premium Payables,Current Curent Liabilities - OF,,1,,Liability,
Payables of last month,Current Curent Liabilities - OF,,1,,Liability,
