12,Consumables,,,,,UNIT,CODE,,,
,,,,,,,,,,
001,Food and Beverage,001,Misc,001,Sugar white ,KG,12001001001,,,
,,,,002,Coffee Nestle ,Pcs,12001001002,,,
,,,,003,Coffee Nestle 3 in 1 ,Pkt,12001001003,,,
,,,,004,Water Bottle 0.330 ml,Box,12001001004,,,
,,,,005,Water Bottle 0.6 l,Box,12001001005,,,
,,,,006,Water Bottle 1.5 l,Box,12001001006,,,
,,,,007,Water gallon 5 ltr - Abraj,Pcs,12001001007,,,
,,,,008,Water gallon 10 l,Pcs,12001001008,,,
,,,,009,Coffee mate- Nestle,Btl,12001001009,,,
,,,,010,Cappuccino-Nescafe,Pkt,12001001010,,,
,,,,011,Almarai milk powder,Pkt,12001001011,,,
,,,,012,Lipton 3 in 1 Karak,Pkt,12001001012,,,
,,,,013,Almond w/salt,Pkt,12001001013,,,
,,,,014,Cashew w/O salt,Pkt,12001001014,,,
,,,,015,Pistachio w/salt,Pkt,12001001015,,,
,,,,016,Distilled water,Pcs,12001001016,,,
,,,,17,Lipton Tea,Pkt,12001001017,,,
,,,,18,Plastic spoon,Pkt,12001001018,,,
,,,,019,DBL wall cup w/lid,Pkt,12001001019,,,
,,,,020,Coffee Nestle Cappuccino,Pkt,12001001020,,,
,,,,021,Chocolate-Patchi,kg,12001001021,,,
,,,,022,Chocolate plate-Patchi,Pcs,12001001022,,,
,,,,,,,,,,
002,Cleaning items,001,Accessories,001,Mop head,Pcs,12002001001,,,
,,,,002,Wiper,Pcs,12002001002,,,
,,,,003,Toilet Brush with holder,Pcs,12002001003,,,
,,,,004,Soft Brush ,Pcs,12002001004,,,
,,,,005,Hard Brush,Pcs,12002001005,,,
,,,,006,Mop Bucket,Pcs,12002001006,,,
,,,,007,Sponge with scourer-big,Pcs,12002001007,,,
,,,,008,Sponge small,Pcs,12002001008,,,
,,,,009,Micro fiber cloth-B/G/R/Y,Pcs,12002001009,,,
,,,,010,Garbage bag 120x95,Pcs,12002001010,,Head office,
,,,,011,Garbage bag 55x55 Grey,Pcs,12002001011,,Head office /T4,
,,,,012,Mop with stick,Pcs,12002001012,,,
,,,,013,Trolley,Pcs,12002001013,,,
,,,,014,Vinyl gloves,Pcs,12002001014,,ACC,
,,,,015,Garbage bag 85x110,Pcs,12002001015,,T4,
,,,,016,V fold paper towel,Pcs,12002001016,,T4,
,,,,017,Garbage bag 55x55 Grey,Pcs,12002001017,,T4,
,,,,018,Garbage bag 55x55 Red,Pcs,12002001018,,T4,
,,,,019,Garbage bag 60x90 Red,Pcs,12002001019,,T4,
,,,,020,Garbage bag 60x90 Blue,Pcs,12002001020,,T4,
,,,,021,Garbage bag 60x90 Grey,Pcs,12002001021,,,
,,,,022,Garbage bag transparent with logo 55x55,Pcs,12002001022,,T4,
,,,,023,Garbage bag transparent with logo 60x90,Pcs,12002001023,,T4,
,,,,024,Scouring pad,Pcs,12002001024,,T4,
,,,,025,Nylon bag for janitorial trolley,Pcs,12002001025,,T4,
,,,,026,Garbage bag black 85x110cm,Pcs,12002001026,,,
,,,,027,Melamine pad,Pcs,12002001027,,,
,,,,028,Garbage bag 85x110 Grey,Pcs,12002001028,,,
,,,,029,Garbage bag 85x110 Red,Pcs,12002001029,,,
,,,,030,Garbage bag 85x110 white with out logo,Pcs,12002001030,,,
,,,,031,Garbage bag 125X135,Pcs,12002001031,,Accomodation,
,,,,032,Tissue box,Pkt,12002001032,,T4 Admin,
,,,,033,Trasg bag-8gallon,Pkt,12002001033,,,
,,,,034,Soap dispencer holder,Pcs,12002001034,,,
,,,,035,Vinyl gloves,Pkt,12002001035,,LOCAL,
,,,,,,,,,,
,,002,Detergent,001,Handsoap bar ,Pcs,12002002001,,,
,,,,002,Handsoap liquid Antibacterial,Pcs,12002002002,,,
,,,,003,Disinfectant liquid,Pcs,12002002003,,,
,,,,004,Lux handwash soap,Pcs,12002002004,,,
,,,,005,Antiseptic liquid,Pcs,12002002005,,,
,,,,006,Dettol -750ml,Pcs,12002002006,,,
,,,,007,All purpose cleaner,Pcs,12002002007,,,
,,,,008,Clorex,Pcs,12002002008,,,
,,,,009,Stainless teel polish,Pcs,12002002009,,,
,,,,010,Air freshner 300ml,Pcs,12002002010,,,
,,,,011,Glass cleaner,Pcs,12002002011,,,
,,,,012,Carpet Shampoo,Pcs,12002002012,,,
,,,,013,Furniture polish,Pcs,12002002013,,,
,,,,014,Toliet cleaner & Descaler,Pcs,12002002014,,,
,,,,015,Lin plus stripper,Pcs,12002002015,,,
,,,,016,Taski Sprint Flower Floor cleaner,Pcs,12002002016,,,
,,,,017,Thinner,Pcs,12002002017,,,
,,,,018,Britac bleach,Pcs,12002002018,,,
,,,,019,Kwik Insect killer,Pcs,12002002019,,,
,,,,020,Marble& Ceamic cleaner,Pcs,12002002021,,,
,,,,021,WD 40 Spray,Pcs,12002002022,,,
,,,,022,Thinner,Pcs,12002002023,,,
,,,,023,CristalFab white pad,Pcs,12002002024,,,
