CODE,SUPPLIER NAME,Category,ADDRESS,CONTACT PERSON,PHONE,MOBILE,E-mail,
0001,AL BAZ 200 GENERAL TRADING AND COTRACTING COMPANY,Uniform,"PO BOX:1870,SAFAT 13019, KUWAIT",ANIYAN,,94073486,,
0002,GRAND RAYA COMPANY,Uniform,"BLOCK#1, BUILDING# 57, ARDHIYA",JOSE,,65154285,jose@grandraya.com,
0003,BOX CENTER CARTON & PAPER PRODUCTS Co.,Packaging material,"ALTMOOR STREET, SHUWAIKH",OMAR,24829968,,m.ali@boxcenter.co,
0004,LOTUS AL DEERA GENERAL TRADING EST.,Stationary,"PO BOX 5431,JLEEB 85864,KUWAIT",SANTHOSH,,66562143,lotuskuwait@yahoo.com,
0005,MAHDI HABIB COMMERCIAL EST,Furniture,AL-SHUWAIKH-AIRPORT ROAD-BLOCK 75,MOHAMED AZIM,4846347 / 24846503,51253776,azim.mahdihabib@yahoo.com,
0006,ALBADER TRADING COMPANY,Stationary,"SHARQ,KUWAIT",JAHIR,22466006 extn425,50018798,jahir@al-bader.com,
0007,AL- AZDAHAR GEN.TRAD & CONT.CO,Uniform,MUBARAKIYA SOUQ ALSHAYA-SHOP#21,BURHAN,,97392153/65018609,burhanbsw@gmail.com,
0008,BHASIN COMPANY W.L.L,Uniform,"DHAJEEJ, FARWANIYA",ABDUL REHMAN,,97149023,rehmanfromq8@gmail.com,
0009,FOODEX,Gloves,"DHAJEEJ, FARWANIYA NEAR LULU",GEORGE,,99137311,foodexkwt@gmail.com,
0010,COPY CENTER,Letterhead,"DHAHAK BIN QUAIS ST. NEAR BETTER BOOKS, SALMIYA",FAKRUDDIN,25620582,66755583,bic_kuwait@yahoo.com,
0011,ALGHANIM ELECTRONICS,Asset,"FARWANIYA, KUWAIT",,,,,
0012,AL TAREEQ AL MUSTAQEEM GENERAL TRADING COMPANY,Cleaning,"FARWANIYA, KUWAIT",SUDEEP,,66576301,dispomaxkwt@gmail.com,
0013,DUHA AL-MUTAHEDA CO.,Bolier,"AL ZAINA STREET, SHUWAIKH ",,,,,
0014,BURGAN FOOTWEAR MANUFACTURING Co,Sabhan,"Block#2, STREET 102, BUILDING 197",RAZA,24733228,97552374,r.shah@burganfootwear.com,
0015,ALI DARWEESH GEN.TRAD.CONS.CO,Stationary,"PO BOX 24613,SAFAT 13107, Kuwait",REJI,22404991,99772974,rejivs@yahoo.com,
0016,SOOR FUEL MARKETING COMPANY,FUEL,,,,,,
0017,AMAL- ALKHALEEJ,Matress,"SHUWAIKH, KUWAIT",,,,No email,
0018,TOOQ AL-KHALEEJ,X-ray machine repair,"PO BOX 341, YARMUK 72654,KUWAIT",,22640592,,,
0019,RUBY DESIGNS Co,Uniform,"BLOCK 7-8,BUILD#57 BASEMENT SHOP#7",JOSE,24348566,97486861,reethatex@gmail.com,
0020,MISCELLANEOUS ,General items,,,,,,Cash Purchase
0021,IKEA,Furniture,"Alrai, Kuwait",SYED,1840408 Ext: 751,95594826,sayed@ikea.com.kw,
0022,ARAB CLEANING CO,Cleaning,PO BOX 23654 SAFAT 13097 KUWAIT,MOHSIN,24817034,96622367,info@arabcleaning.com,
0023,SMILE COMPUTERS,Computer,SHUWAIKH.KUWAIT,JACOB,22408660 extn:308,66221162,jacob@smilecomputers.com,
0024,ALMULLA OFFICE AUTOMATION,Photocopy machine,"P.O. Box 177, SAFAT 13002, KUWAIT",DAVE,(+965) 1880088 (Ext: 369),65603994,jimenez@ almullagroup.com,
0025,NAPCO,Paper products,"SABHAN, KUWAIT",VICKY,,60027751,icken.Yacoubian@napcogroup.com,
0026,TERRA COM INFORMATICS LTD,Metal plastic tags,"TERRA COM INFORMATICS LTD,79 Ethnikis Antistasis,Katsikas-Ioannina,45221,Greece",MARIA,30-26510-94333,30-6978001058,mroussou@terracom.gr | info@qrpatrol.com,
0027,AL_FARKAD TRADING EST.,Id card repair,"PO BOX 27019,SAFAT 13131, KUWAIT",SATHEESH,22405100,,,
0028,PEGASUS,Id card repair,"PO BOX 27019,SAFAT 13131, KUWAIT",,22479255,,,
0029,AL-RYADH GROUP COMPANY,Spare parts,"PO BOX 122, SAFAT 13002 KUWAIT",TIJU,,99992795,cleaning@marafiegroup.com,
0030,DIA BEHBEHANI,Podium,"PO BOX 24180,SAFAT 13102,KUWAIT",NABIL GHOUSSEINI,24844016,,,
0031,AL BOUROUJ NATIONAL CO,Abraj water,,MUKHTAR,,90061049,,
0032,DIAMOND JEWEL EST.,Garbage bag,"SABHAN,KUWAIT",FELIX,,55494969,felixpauldsouza61@gmail.com,
0033,KUWAIT DESIGN GROUP,Furniture,"ALRAI, BLOCK#1BUILDING#1451",MUHAMMAD,,97139557,kazema-kuwaitiya@hotmail.com,
0034,AL RASHED INTERNATIONAL SHIPPING CO W.L.L,Chemical,"SALMIYA,KUWAIT",RATHI,965-22912949,97948397,sales1@al-rashedgroup.com,
0035,PENTA GRAFIX,Cards,"ALRAI,KUWAIT",ANEES,,90949847,pentagrafixkwt@gmail.com,
0036,AL ZAHEM INTERNATIONAL FACTORIES,Electrical,"SHUIBA BLOCK 5B,PO BOX 26212,SAFAT,KUWAIT",TISSY,22212221 Ext. 309,,tissy@alzahemgroup.com,
0037,SWAIDAN,Uniform,MUBARAKIYA.KUWAIT,,,,,
